#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Reads in subset: 100000
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	99900	3609	3.61	56682	56.74	19962	19.98	7502	7.51	12145	12.16
Mouse	99900	89494	89.59	31	0.03	14	0.01	5093	5.10	5268	5.27
Rat	99900	88985	89.07	47	0.05	22	0.02	5166	5.17	5680	5.69
Drosophila	99900	99555	99.66	0	0.00	0	0.00	83	0.08	262	0.26
Worm	99900	99735	99.84	2	0.00	0	0.00	79	0.08	84	0.08
Yeast	99900	99719	99.82	0	0.00	0	0.00	4	0.00	177	0.18
Arabidopsis	99900	99655	99.75	0	0.00	0	0.00	46	0.05	199	0.20
Ecoli	99900	99897	100.00	0	0.00	1	0.00	0	0.00	2	0.00
rRNA	99900	99016	99.12	0	0.00	0	0.00	200	0.20	684	0.68
MT	99900	93614	93.71	0	0.00	0	0.00	6094	6.10	192	0.19
PhiX	99900	99900	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Lambda	99900	99900	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	99900	99900	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Adapters	99900	99900	100.00	0	0.00	0	0.00	0	0.00	0	0.00

%Hit_no_genomes: 3.46
