#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Reads in subset: 100000
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	99890	3260	3.27	56250	56.31	19863	19.88	8067	8.08	12450	12.46
Mouse	99890	89690	89.79	30	0.03	5	0.01	5056	5.06	5109	5.11
Rat	99890	89142	89.24	56	0.06	23	0.02	5154	5.16	5515	5.52
Drosophila	99890	99615	99.73	1	0.00	1	0.00	79	0.08	194	0.19
Worm	99890	99771	99.88	0	0.00	0	0.00	62	0.06	57	0.06
Yeast	99890	99744	99.86	0	0.00	0	0.00	4	0.00	142	0.14
Arabidopsis	99890	99702	99.81	0	0.00	0	0.00	35	0.04	153	0.15
Ecoli	99890	99890	100.00	0	0.00	0	0.00	0	0.00	0	0.00
rRNA	99890	99258	99.36	0	0.00	0	0.00	166	0.17	466	0.47
MT	99890	92547	92.65	0	0.00	0	0.00	7093	7.10	250	0.25
PhiX	99890	99890	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Lambda	99890	99890	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	99890	99890	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Adapters	99890	99890	100.00	0	0.00	0	0.00	0	0.00	0	0.00

%Hit_no_genomes: 3.12
