#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Reads in subset: 100000
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	100029	3626	3.62	56682	56.67	19813	19.81	7552	7.55	12356	12.35
Mouse	100029	89613	89.60	42	0.04	5	0.00	5163	5.16	5206	5.20
Rat	100029	89096	89.08	54	0.05	25	0.02	5168	5.17	5686	5.68
Drosophila	100029	99632	99.60	0	0.00	0	0.00	116	0.12	281	0.28
Worm	100029	99837	99.81	0	0.00	0	0.00	91	0.09	101	0.10
Yeast	100029	99821	99.79	0	0.00	0	0.00	7	0.01	201	0.20
Arabidopsis	100029	99758	99.73	0	0.00	0	0.00	42	0.04	229	0.23
Ecoli	100029	100029	100.00	0	0.00	0	0.00	0	0.00	0	0.00
rRNA	100029	99207	99.18	0	0.00	0	0.00	220	0.22	602	0.60
MT	100029	93548	93.52	0	0.00	0	0.00	6261	6.26	220	0.22
PhiX	100029	100029	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Lambda	100029	100029	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	100029	100025	100.00	0	0.00	0	0.00	1	0.00	3	0.00
Adapters	100029	100029	100.00	0	0.00	0	0.00	0	0.00	0	0.00

%Hit_no_genomes: 3.47
