#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Reads in subset: 100000
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	100022	3304	3.31	56102	56.09	19769	19.76	8045	8.04	12802	12.80
Mouse	100022	89665	89.65	34	0.03	7	0.01	5272	5.27	5044	5.04
Rat	100022	89232	89.21	50	0.05	24	0.02	5329	5.33	5387	5.39
Drosophila	100022	99734	99.71	3	0.00	0	0.00	79	0.08	206	0.21
Worm	100022	99890	99.87	0	0.00	0	0.00	60	0.06	72	0.07
Yeast	100022	99886	99.86	0	0.00	0	0.00	7	0.01	129	0.13
Arabidopsis	100022	99841	99.82	0	0.00	0	0.00	25	0.02	156	0.16
Ecoli	100022	100022	100.00	0	0.00	0	0.00	0	0.00	0	0.00
rRNA	100022	99453	99.43	0	0.00	0	0.00	149	0.15	420	0.42
MT	100022	92483	92.46	0	0.00	0	0.00	7308	7.31	231	0.23
PhiX	100022	100022	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Lambda	100022	100022	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	100022	100019	100.00	0	0.00	0	0.00	0	0.00	3	0.00
Adapters	100022	100022	100.00	0	0.00	0	0.00	0	0.00	0	0.00

%Hit_no_genomes: 3.15
