#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Reads in subset: 100000
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	99921	3591	3.59	58299	58.35	18828	18.84	7724	7.73	11479	11.49
Mouse	99921	89662	89.73	40	0.04	8	0.01	5232	5.24	4979	4.98
Rat	99921	89329	89.40	42	0.04	19	0.02	5165	5.17	5366	5.37
Drosophila	99921	99518	99.60	0	0.00	0	0.00	114	0.11	289	0.29
Worm	99921	99727	99.80	1	0.00	0	0.00	77	0.08	116	0.12
Yeast	99921	99742	99.82	0	0.00	0	0.00	11	0.01	168	0.17
Arabidopsis	99921	99658	99.73	0	0.00	0	0.00	37	0.04	226	0.23
Ecoli	99921	99921	100.00	0	0.00	0	0.00	0	0.00	0	0.00
rRNA	99921	99228	99.30	0	0.00	0	0.00	177	0.18	516	0.52
MT	99921	93759	93.83	0	0.00	0	0.00	5981	5.99	181	0.18
PhiX	99921	99921	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Lambda	99921	99921	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	99921	99812	99.89	0	0.00	0	0.00	84	0.08	25	0.03
Adapters	99921	99837	99.92	0	0.00	1	0.00	0	0.00	83	0.08

%Hit_no_genomes: 3.37
