#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Reads in subset: 100000
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	100011	3790	3.80	55971	55.96	19652	19.65	7884	7.88	12714	12.71
Mouse	100011	89616	89.61	34	0.03	12	0.01	5120	5.12	5229	5.23
Rat	100011	89164	89.15	53	0.05	19	0.02	5259	5.26	5516	5.52
Drosophila	100011	99677	99.67	1	0.00	0	0.00	99	0.10	234	0.23
Worm	100011	99852	99.85	0	0.00	0	0.00	65	0.06	94	0.09
Yeast	100011	99847	99.83	0	0.00	0	0.00	6	0.01	158	0.16
Arabidopsis	100011	99779	99.77	0	0.00	0	0.00	35	0.03	197	0.20
Ecoli	100011	100011	100.00	0	0.00	0	0.00	0	0.00	0	0.00
rRNA	100011	99374	99.36	0	0.00	0	0.00	178	0.18	459	0.46
MT	100011	92718	92.71	0	0.00	0	0.00	7058	7.06	235	0.23
PhiX	100011	100011	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Lambda	100011	100011	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	100011	99702	99.69	0	0.00	0	0.00	291	0.29	18	0.02
Adapters	100011	99708	99.70	15	0.01	0	0.00	0	0.00	288	0.29

%Hit_no_genomes: 3.34
